"filename", "language", "JSON with Comments", "JSON", "TypeScript", "YAML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\README.md", "Markdown", 0, 0, 0, 0, 56, 0, 0, 27, 83
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\databse.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\docker-compose.yaml", "YAML", 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\ormconfig.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\package-lock.json", "JSON", 0, 12475, 0, 0, 0, 0, 0, 1, 12476
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\package.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 1, 91
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\scripts\generateUML.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 8, 3, 29
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\app.module.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 2, 5, 46
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\auth.controller.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 10, 49
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\auth.module.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 5, 47
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\auth.service.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 6, 38, 148
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\decorators\role-protected\auth.decorator.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\decorators\role-protected\get-user.decorator.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\decorators\role-protected\role-protected.decorator.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 6, 12
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\dto\create-user.dto.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 11, 49
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\dto\login-user.dto.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\dto\update-user.dto.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\entities\user.entity.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 1, 17, 71
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\guards\user-role\user-role.guard.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\guards\user-role\user-role.guard.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 10, 38
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\interfaces\jwt-payload.interface.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\interfaces\valid-roles.enum.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Juan Sebastián\Desktop\CodeKey\api\src\auth\strategies\jwt-strategy.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 11, 43
